Run, 44 File #, Date, Time, Raw REF, Raw C1, Raw C2, Raw C3, Corrected REF, Corrected C1, Corrected C2, Corrected C3, 44 Ref Sig (Coulombs), 45 Ref Sig (Coulombs), 44 C1 Sig (Coulombs), 45 C1 Sig (Coulombs), 44 C2 Sig (Coulombs), 45 C2 Sig (Coulombs), 44 C3 Sig (Coulombs), 45 C3 Sig (Coulombs), 44 REF Height (mV), 45 REF Height (mV), 44 C1 Height (mV), 45 C1 Height (mV), 44 C2 Height (mV), 45 C2 Height (mV), 44 C3 Height (mV), 45 C3 Height (mV), REF 44 Start Time (Min), REF 44 End Time (Min), REF 45 Start Time (Min), REF 45 End Time (Min), C1 44 Start Time (Min), C1 44 End Time (Min), C1 45 Start Time (Min), C1 45 End Time (Min), C2 44 Start Time (Min), C2 44 End Time (Min), C2 45 Start Time (Min), C2 45 End Time (Min), C3 44 Start Time (Min), C3 44 End Time (Min), C3 45 Start Time (Min), C3 45 End Time (Min), REF 44 Time STD (Sec), C1 44 Time STD (Sec), C2 44 Time STD (Sec), C3 44 Time STD (Sec),REF 44 Noise STD (mV), REF 45 Noise STD (mV), Baseline 44 Noise STD (mV), Baseline 45 Noise (mV), Temperature(mV)
30, 9522,  9-27-2015,  3:49:53, -39.33, -58.88, -43.60, -47.64, -39.88, -59.43, -44.15, -48.19, 2.16339e-08, 2.33543e-10, 1.73177e-08, 1.83145e-10, 1.81409e-08, 1.94965e-10, 2.38366e-08, 2.55095e-10, 119.343, 139.829, 86.294, 93.4641, 115.741, 121.933, 175.166, 184.097, 0.067, 0.487, 0.067, 0.487, 0.927, 2.000, 0.920, 2.013, 3.333, 4.220, 3.333, 4.240, 5.760, 6.573, 5.760, 6.587, 7.23, 8.01, 6.25, 5.43, 0.006690, 0.026674, 0.007583, 0.062468, 0.0000 
31, 9523,  9-27-2015,  4: 4:55, -39.25, -57.75, -43.51, -47.77, -39.88, -58.38, -44.14, -48.41, 2.16351e-08, 2.33576e-10, 1.72634e-08, 1.82789e-10, 1.81239e-08, 1.94801e-10, 2.38131e-08, 2.54808e-10, 119.213, 139.642, 85.8524, 93.1618, 116.439, 121.58, 178.241, 186.399, 0.067, 0.493, 0.067, 0.493, 0.933, 2.000, 0.920, 2.020, 3.333, 4.220, 3.333, 4.240, 5.767, 6.573, 5.760, 6.587, 7.24, 8.02, 6.21, 5.33, 0.008074, 0.051218, 0.007327, 0.118151, 0.0000 
32, 9524,  9-27-2015,  4:19:58, -39.51, -58.97, -43.34, -47.66, -39.88, -59.34, -43.71, -48.02, 2.15981e-08, 2.33113e-10, 1.7316e-08, 1.83109e-10, 1.81807e-08, 1.95445e-10, 2.37756e-08, 2.54439e-10, 119.072, 139.455, 85.5554, 92.8695, 116.59, 122.587, 176.842, 186.82, 0.067, 0.493, 0.067, 0.493, 0.920, 2.000, 0.913, 2.013, 3.333, 4.220, 3.333, 4.240, 5.767, 6.573, 5.760, 6.593, 7.24, 8.07, 6.22, 5.36, 0.006519, 0.136611, 0.012070, 0.079149, 0.0000 
33, 9525,  9-27-2015,  4:35: 0, -39.40, -58.53, -44.21, -47.60, -39.88, -59.01, -44.69, -48.09, 2.1498e-08, 2.3206e-10, 1.72943e-08, 1.82965e-10, 1.8139e-08, 1.9482e-10, 2.37658e-08, 2.54348e-10, 118.388, 138.67, 85.7532, 92.9469, 115.553, 121.453, 172.845, 185.401, 0.067, 0.493, 0.067, 0.493, 0.933, 2.007, 0.927, 2.027, 3.333, 4.227, 3.333, 4.240, 5.760, 6.573, 5.760, 6.593, 7.24, 8.05, 6.26, 5.49, 0.007714, 0.052614, 0.005937, 0.061790, 0.0000 
34, 9526,  9-27-2015,  4:50: 3, -39.41, -58.93, -43.48, -47.83, -39.88, -59.40, -43.95, -48.29, 2.15549e-08, 2.32671e-10, 1.72917e-08, 1.82859e-10, 1.81648e-08, 1.95246e-10, 2.38126e-08, 2.5479e-10, 118.78, 139.194, 85.0999, 92.7344, 113.881, 121.162, 174.56, 185.333, 0.067, 0.493, 0.067, 0.493, 0.927, 2.000, 0.920, 2.013, 3.340, 4.227, 3.333, 4.247, 5.760, 6.573, 5.760, 6.587, 7.24, 8.11, 6.36, 5.44, 0.002487, 0.040728, 0.005148, 0.138097, 0.0000 
35, 9527,  9-27-2015,  5: 5: 6, -39.43, -58.70, -43.96, -47.24, -39.88, -59.14, -44.41, -47.68, 2.16265e-08, 2.33439e-10, 1.73338e-08, 1.8335e-10, 1.82e-08, 1.95525e-10, 2.38434e-08, 2.55277e-10, 119.202, 139.707, 85.1724, 92.4681, 114.95, 122.407, 174.434, 184.306, 0.067, 0.487, 0.067, 0.487, 0.920, 2.000, 0.913, 2.013, 3.333, 4.220, 3.333, 4.233, 5.760, 6.573, 5.760, 6.593, 7.24, 8.12, 6.32, 5.45, 0.006442, 0.079873, 0.004717, 0.030356, 0.0000 
36, 9528,  9-27-2015,  5:20: 8, -39.49, -58.41, -43.49, -47.79, -39.88, -58.80, -43.89, -48.18, 2.16076e-08, 2.33222e-10, 1.72618e-08, 1.82645e-10, 1.81235e-08, 1.948e-10, 2.38702e-08, 2.55416e-10, 119.198, 139.642, 85.9094, 93.0644, 115.662, 122.199, 175.207, 185.261, 0.067, 0.493, 0.067, 0.493, 0.933, 2.007, 0.927, 2.020, 3.333, 4.220, 3.327, 4.240, 5.760, 6.573, 5.753, 6.587, 7.23, 8.02, 6.25, 5.44, 0.015264, 0.066586, 0.003112, 0.028692, 0.0000 
37, 9529,  9-27-2015,  5:35:11, -39.41, -59.15, -44.22, -47.66, -39.88, -59.62, -44.69, -48.13, 2.1555e-08, 2.32672e-10, 1.72898e-08, 1.82797e-10, 1.81812e-08, 1.95271e-10, 2.37926e-08, 2.54619e-10, 118.878, 139.269, 85.4118, 92.6863, 114.79, 121.776, 178.334, 187.675, 0.067, 0.493, 0.067, 0.493, 0.920, 2.000, 0.913, 2.007, 3.340, 4.227, 3.333, 4.233, 5.767, 6.573, 5.767, 6.587, 7.23, 8.08, 6.32, 5.32, 0.011300, 0.103019, 0.014771, 0.137012, 0.0000 
38, 9530,  9-27-2015,  5:50:14, -39.38, -58.25, -43.97, -47.68, -39.88, -58.75, -44.47, -48.18, 2.17666e-08, 2.34964e-10, 1.7293e-08, 1.83007e-10, 1.81968e-08, 1.9549e-10, 2.38294e-08, 2.55009e-10, 119.375, 139.802, 84.7358, 92.0706, 117.051, 123.251, 173.112, 184.708, 0.067, 0.493, 0.067, 0.493, 0.920, 1.993, 0.907, 2.013, 3.333, 4.220, 3.333, 4.233, 5.760, 6.573, 5.760, 6.587, 7.27, 8.14, 6.20, 5.49, 0.007697, 0.048330, 0.006103, 0.023521, 0.0000 
39, 9531,  9-27-2015,  6: 5:17, -39.40, -58.75, -43.96, -47.47, -39.88, -59.23, -44.44, -47.94, 2.16125e-08, 2.33294e-10, 1.72736e-08, 1.82702e-10, 1.81976e-08, 1.95501e-10, 2.38684e-08, 2.55483e-10, 119.213, 139.623, 85.3555, 92.4378, 117.332, 122.584, 173.399, 183.568, 0.067, 0.487, 0.067, 0.493, 0.920, 1.993, 0.907, 2.007, 3.333, 4.220, 3.333, 4.233, 5.760, 6.573, 5.760, 6.587, 7.23, 8.07, 6.19, 5.49, 0.006021, 0.073556, 0.006442, 0.086347, 0.0000 
40, 9532,  9-27-2015,  6:20:19, -39.31, -58.84, -44.06, -47.52, -39.88, -59.41, -44.63, -48.10, 2.15891e-08, 2.33065e-10, 1.72699e-08, 1.82646e-10, 1.81387e-08, 1.94848e-10, 2.38147e-08, 2.54893e-10, 118.904, 139.324, 85.8275, 92.9551, 116.517, 122.984, 177.262, 186.149, 0.073, 0.493, 0.073, 0.493, 0.940, 2.013, 0.933, 2.027, 3.340, 4.227, 3.333, 4.240, 5.767, 6.573, 5.767, 6.587, 7.24, 8.03, 6.21, 5.36, 0.004763, 0.150038, 0.005761, 0.153332, 0.0000 
41, 9533,  9-27-2015,  6:35:22, -39.32, -58.07, -44.66, -47.29, -39.88, -58.62, -45.22, -47.84, 2.1576e-08, 2.3292e-10, 1.73538e-08, 1.83684e-10, 1.82215e-08, 1.95613e-10, 2.38231e-08, 2.55046e-10, 118.917, 139.414, 85.6017, 92.9599, 115.076, 120.36, 176.953, 186.659, 0.067, 0.487, 0.067, 0.487, 0.913, 1.993, 0.907, 2.013, 3.333, 4.227, 3.327, 4.233, 5.760, 6.567, 5.753, 6.587, 7.24, 8.09, 6.32, 5.37, 0.004848, 0.023521, 0.005244, 0.053649, 0.0000 
42, 9534,  9-27-2015,  6:50:24, -39.31, -58.89, -43.49, -47.44, -39.88, -59.45, -44.06, -48.01, 2.17222e-08, 2.345e-10, 1.72889e-08, 1.82839e-10, 1.81356e-08, 1.94929e-10, 2.38444e-08, 2.55232e-10, 119.304, 139.774, 86.3049, 93.2837, 113.887, 121.833, 174.744, 185.53, 0.067, 0.493, 0.067, 0.493, 0.940, 2.013, 0.933, 2.027, 3.340, 4.220, 3.333, 4.240, 5.760, 6.573, 5.760, 6.593, 7.26, 7.99, 6.35, 5.44, 0.003674, 0.135972, 0.003536, 0.120467, 0.0000 
43, 9535,  9-27-2015,  7: 5:27, -39.45, -58.18, -44.06, -47.20, -39.88, -58.61, -44.50, -47.63, 2.15582e-08, 2.32697e-10, 1.73202e-08, 1.83308e-10, 1.81891e-08, 1.95388e-10, 2.38573e-08, 2.55435e-10, 118.815, 139.141, 85.4728, 92.831, 114.008, 121.955, 177.427, 187.119, 0.067, 0.493, 0.067, 0.493, 0.920, 2.000, 0.913, 2.020, 3.340, 4.227, 3.333, 4.240, 5.767, 6.573, 5.760, 6.593, 7.24, 8.08, 6.36, 5.36, 0.001785, 0.044111, 0.006759, 0.046203, 0.0000 
